INSERT INTO RegistroInterventi(Tecnico, Richiesta, Intervento) VALUES
('GLIMAV29E31B520O', 0306, 0001),
('GLIMAV29E31B520O', 0306, 0002),
('AOHKMV73J84Q368L', 0307, 0001),
('AOHKMV73J84Q368L', 0307, 0002),
('AOHKMV73J84Q368L', 0307, 0003),
('NKXZYL65D42E238A', 0308, 0001),
('NKXZYL65D42E238A', 0308, 0002),
('KNOYAI45L56R691S', 0309, 0001),
('IGXEDP10I73J564L', 0310, 0001),
('IGXEDP10I73J564L', 0310, 0002),
('IGXEDP10I73J564L', 0311, 0001),
('IGXEDP10I73J564L', 0312, 0001),
('IGXEDP10I73J564L', 0312, 0002),
('KNOYAI45L56R691S', 0313, 0001),
('KNOYAI45L56R691S', 0313, 0002),
('KNOYAI45L56R691S', 0313, 0003),
('AOHKMV73J84Q368L', 0314, 0001),
('AOHKMV73J84Q368L', 0314, 0002),
('AOHKMV73J84Q368L', 0314, 0003),
('AOHKMV73J84Q368L', 0315, 0001),
('UJHLTI86P60P714M', 0316, 0001),
('GLIMAV29E31B520O', 0316, 0002),
('TWAJOK98R58Y714P', 0316, 0003),
('KNOYAI45L56R691S', 0317, 0001),
('IGXEDP10I73J564L', 0318, 0001),
('IGXEDP10I73J564L', 0318, 0002),
('IGXEDP10I73J564L', 0318, 0003),
('IGXEDP10I73J564L', 0319, 0001),
('TEFJVI96G02K810Z', 0320, 0001),
('AOHKMV73J84Q368L', 0320, 0002),
('NKXZYL65D42E238A', 0321, 0001),
('XCATMI90N20B604S', 0321, 0002),
('XCATMI90N20B604S', 0321, 0003),
('IGXEDP10I73J564L', 0322, 0001),
('IGXEDP10I73J564L', 0322, 0002),
('CTJOVK64H91O146H', 0323, 0001),
('NKXZYL65D42E238A', 0323, 0002),
('KNOYAI45L56R691S', 0324, 0001),
('AOHKMV73J84Q368L', 0324, 0002),
('AOHKMV73J84Q368L', 0324, 0003),
('IGXEDP10I73J564L', 0325, 0001),
('IGXEDP10I73J564L', 0325, 0002),
('XCATMI90N20B604S', 0326, 0001),
('NKXZYL65D42E238A', 0326, 0002),
('AOHKMV73J84Q368L', 0327, 0001),
('AOHKMV73J84Q368L', 0327, 0002),
('AOHKMV73J84Q368L', 0327, 0003),
('AOHKMV73J84Q368L', 0328, 0001),
('AOHKMV73J84Q368L', 0328, 0002),
('CGPMNF06K15T392P', 0329, 0001),
('AOHKMV73J84Q368L', 0330, 0001),
('AOHKMV73J84Q368L', 0330, 0002),
('IGXEDP10I73J564L', 0331, 0001),
('KNOYAI45L56R691S', 0332, 0001),
('KNOYAI45L56R691S', 0332, 0002),
('AOHKMV73J84Q368L', 0333, 0001),
('AOHKMV73J84Q368L', 0333, 0002),
('TWAJOK98R58Y714P', 0334, 0001),
('AOHKMV73J84Q368L', 0335, 0001),
('AOHKMV73J84Q368L', 0335, 0002),
('VGYBUT84J41H814C', 0336, 0001),
('GLIMAV29E31B520O', 0336, 0002),
('TWAJOK98R58Y714P', 0336, 0003),
('TEFJVI96G02K810Z', 0337, 0001),
('AOHKMV73J84Q368L', 0337, 0002),
('XCATMI90N20B604S', 0338, 0001),
('IGXEDP10I73J564L', 0339, 0001),
('IGXEDP10I73J564L', 0339, 0002),
('IGXEDP10I73J564L', 0339, 0003),
('CTJOVK64H91O146H', 0340, 0001),
('WNHIUA46T09L765U', 0341, 0001),
('WNHIUA46T09L765U', 0341, 0002),
('CGPMNF06K15T392P', 0341, 0003),
('WNHIUA46T09L765U', 0342, 0001),
('AOHKMV73J84Q368L', 0343, 0001),
('AOHKMV73J84Q368L', 0343, 0002),
('AOHKMV73J84Q368L', 0343, 0003),
('TEFJVI96G02K810Z', 0344, 0001),
('IGXEDP10I73J564L', 0345, 0001),
('AOHKMV73J84Q368L', 0346, 0001),
('CTJOVK64H91O146H', 0347, 0001),
('VGYBUT84J41H814C', 0347, 0002),
('VGYBUT84J41H814C', 0347, 0003),
('XCATMI90N20B604S', 0348, 0001),
('KNOYAI45L56R691S', 0349, 0001),
('XKDCTP56B47P209H', 0350, 0001),
('NKXZYL65D42E238A', 0350, 0002),
('XKDCTP56B47P209H', 0350, 0003),
('AOHKMV73J84Q368L', 0351, 0001),
('NKXZYL65D42E238A', 0352, 0001),
('NKXZYL65D42E238A', 0352, 0002),
('KNOYAI45L56R691S', 0353, 0001),
('IGXEDP10I73J564L', 0354, 0001),
('IGXEDP10I73J564L', 0354, 0002),
('IGXEDP10I73J564L', 0354, 0003),
('IOVYGZ84G25I235Q', 0355, 0001),
('NKXZYL65D42E238A', 0356, 0001),
('XKDCTP56B47P209H', 0356, 0002),
('KNOYAI45L56R691S', 0357, 0001),
('KNOYAI45L56R691S', 0357, 0002),
('TEFJVI96G02K810Z', 0357, 0003),
('IGXEDP10I73J564L', 0358, 0001),
('IGXEDP10I73J564L', 0358, 0002),
('IGXEDP10I73J564L', 0358, 0003),
('AOHKMV73J84Q368L', 0359, 0001),
('XCATMI90N20B604S', 0360, 0001),
('XKDCTP56B47P209H', 0360, 0002),
('CGPMNF06K15T392P', 0361, 0001),
('IGXEDP10I73J564L', 0362, 0001),
('IGXEDP10I73J564L', 0362, 0002),
('IGXEDP10I73J564L', 0362, 0003),
('IOVYGZ84G25I235Q', 0363, 0001),
('CTJOVK64H91O146H', 0364, 0001),
('IOVYGZ84G25I235Q', 0364, 0002),
('IOVYGZ84G25I235Q', 0364, 0003),
('CTJOVK64H91O146H', 0365, 0001),
('NKXZYL65D42E238A', 0365, 0002),
('IOVYGZ84G25I235Q', 0365, 0003),
('GLIMAV29E31B520O', 0366, 0001),
('CTJOVK64H91O146H', 0366, 0002),
('VGYBUT84J41H814C', 0367, 0001),
('WNHIUA46T09L765U', 0367, 0002),
('AOHKMV73J84Q368L', 0368, 0001),
('CGPMNF06K15T392P', 0369, 0001),
('AOHKMV73J84Q368L', 0370, 0001),
('TEFJVI96G02K810Z', 0371, 0001),
('KNOYAI45L56R691S', 0371, 0002),
('IGXEDP10I73J564L', 0372, 0001),
('IGXEDP10I73J564L', 0372, 0002),
('NKXZYL65D42E238A', 0373, 0001),
('AOHKMV73J84Q368L', 0374, 0001),
('AOHKMV73J84Q368L', 0374, 0002),
('KNOYAI45L56R691S', 0375, 0001),
('AOHKMV73J84Q368L', 0375, 0002),
('AOHKMV73J84Q368L', 0375, 0003),
('AOHKMV73J84Q368L', 0376, 0001),
('AOHKMV73J84Q368L', 0376, 0002),
('AOHKMV73J84Q368L', 0376, 0003),
('IGXEDP10I73J564L', 0377, 0001),
('XKDCTP56B47P209H', 0378, 0001),
('XCATMI90N20B604S', 0378, 0002),
('XKDCTP56B47P209H', 0378, 0003),
('AOHKMV73J84Q368L', 0379, 0001),
('AOHKMV73J84Q368L', 0379, 0002),
('XCATMI90N20B604S', 0380, 0001),
('XKDCTP56B47P209H', 0381, 0001),
('VGYBUT84J41H814C', 0382, 0001),
('XKDCTP56B47P209H', 0383, 0001),
('NKXZYL65D42E238A', 0383, 0002),
('NKXZYL65D42E238A', 0383, 0003),
('TWAJOK98R58Y714P', 0384, 0001),
('CGPMNF06K15T392P', 0384, 0002),
('TWAJOK98R58Y714P', 0385, 0001),
('NKXZYL65D42E238A', 0386, 0001),
('KNOYAI45L56R691S', 0387, 0001),
('XKDCTP56B47P209H', 0388, 0001),
('NKXZYL65D42E238A', 0388, 0002),
('NKXZYL65D42E238A', 0389, 0001),
('XCATMI90N20B604S', 0389, 0002),
('NKXZYL65D42E238A', 0389, 0003),
('CTJOVK64H91O146H', 0390, 0001),
('CTJOVK64H91O146H', 0391, 0001),
('IOVYGZ84G25I235Q', 0392, 0001),
('CTJOVK64H91O146H', 0392, 0002),
('AOHKMV73J84Q368L', 0393, 0001),
('AOHKMV73J84Q368L', 0393, 0002),
('AOHKMV73J84Q368L', 0393, 0003),
('AOHKMV73J84Q368L', 0394, 0001),
('TEFJVI96G02K810Z', 0394, 0002),
('XCATMI90N20B604S', 0395, 0001),
('AOHKMV73J84Q368L', 0396, 0001),
('AOHKMV73J84Q368L', 0396, 0002),
('AOHKMV73J84Q368L', 0396, 0003),
('VGYBUT84J41H814C', 0397, 0001),
('CGPMNF06K15T392P', 0397, 0002),
('CTJOVK64H91O146H', 0397, 0003),
('TEFJVI96G02K810Z', 0398, 0001),
('TEFJVI96G02K810Z', 0398, 0002),
('TEFJVI96G02K810Z', 0399, 0001),
('IGXEDP10I73J564L', 0400, 0001),
('IGXEDP10I73J564L', 0400, 0002),
('XKDCTP56B47P209H', 0401, 0001),
('XKDCTP56B47P209H', 0401, 0002),
('NKXZYL65D42E238A', 0402, 0001),
('XCATMI90N20B604S', 0402, 0002),
('AOHKMV73J84Q368L', 0403, 0001),
('AOHKMV73J84Q368L', 0403, 0002),
('NKXZYL65D42E238A', 0404, 0001),
('IOVYGZ84G25I235Q', 0404, 0002),
('AOHKMV73J84Q368L', 0405, 0001),
('AOHKMV73J84Q368L', 0405, 0002),
('AOHKMV73J84Q368L', 0405, 0003),
('IGXEDP10I73J564L', 0406, 0001),
('IGXEDP10I73J564L', 0406, 0002),
('IGXEDP10I73J564L', 0406, 0003),
('TWAJOK98R58Y714P', 0407, 0001),
('AOHKMV73J84Q368L', 0408, 0001),
('AOHKMV73J84Q368L', 0409, 0001),
('IOVYGZ84G25I235Q', 0410, 0001),
('AOHKMV73J84Q368L', 0411, 0001),
('IGXEDP10I73J564L', 0412, 0001),
('IGXEDP10I73J564L', 0412, 0002),
('NKXZYL65D42E238A', 0413, 0001),
('UJHLTI86P60P714M', 0414, 0001),
('VGYBUT84J41H814C', 0414, 0002),
('UJHLTI86P60P714M', 0414, 0003),
('WNHIUA46T09L765U', 0415, 0001),
('VGYBUT84J41H814C', 0415, 0002),
('CGPMNF06K15T392P', 0415, 0003),
('VGYBUT84J41H814C', 0416, 0001),
('AOHKMV73J84Q368L', 0417, 0001),
('NKXZYL65D42E238A', 0418, 0001),
('NKXZYL65D42E238A', 0419, 0001),
('NKXZYL65D42E238A', 0419, 0002),
('CTJOVK64H91O146H', 0419, 0003),
('IGXEDP10I73J564L', 0420, 0001),
('IGXEDP10I73J564L', 0420, 0002),
('IGXEDP10I73J564L', 0420, 0003),
('IGXEDP10I73J564L', 0421, 0001),
('AOHKMV73J84Q368L', 0422, 0001),
('AOHKMV73J84Q368L', 0422, 0002),
('AOHKMV73J84Q368L', 0422, 0003),
('TWAJOK98R58Y714P', 0423, 0001),
('CTJOVK64H91O146H', 0423, 0002),
('WNHIUA46T09L765U', 0423, 0003),
('IOVYGZ84G25I235Q', 0424, 0001),
('AOHKMV73J84Q368L', 0425, 0001),
('IGXEDP10I73J564L', 0426, 0001),
('NKXZYL65D42E238A', 0427, 0001),
('XCATMI90N20B604S', 0427, 0002),
('WNHIUA46T09L765U', 0428, 0001),
('TEFJVI96G02K810Z', 0429, 0001),
('KNOYAI45L56R691S', 0429, 0002),
('CTJOVK64H91O146H', 0430, 0001),
('VGYBUT84J41H814C', 0430, 0002),
('CTJOVK64H91O146H', 0430, 0003),
('TEFJVI96G02K810Z', 0431, 0001),
('UJHLTI86P60P714M', 0432, 0001),
('IGXEDP10I73J564L', 0433, 0001),
('IGXEDP10I73J564L', 0433, 0002),
('AOHKMV73J84Q368L', 0434, 0001),
('AOHKMV73J84Q368L', 0434, 0002),
('XKDCTP56B47P209H', 0435, 0001),
('XCATMI90N20B604S', 0435, 0002),
('XCATMI90N20B604S', 0435, 0003),
('NKXZYL65D42E238A', 0436, 0001),
('NKXZYL65D42E238A', 0436, 0002),
('AOHKMV73J84Q368L', 0437, 0001),
('AOHKMV73J84Q368L', 0437, 0002),
('AOHKMV73J84Q368L', 0437, 0003),
('AOHKMV73J84Q368L', 0438, 0001),
('AOHKMV73J84Q368L', 0438, 0002),
('AOHKMV73J84Q368L', 0438, 0003),
('IGXEDP10I73J564L', 0439, 0001),
('WNHIUA46T09L765U', 0440, 0001),
('AOHKMV73J84Q368L', 0441, 0001),
('AOHKMV73J84Q368L', 0441, 0002),
('AOHKMV73J84Q368L', 0441, 0003),
('IOVYGZ84G25I235Q', 0442, 0001),
('NKXZYL65D42E238A', 0442, 0002),
('AOHKMV73J84Q368L', 0443, 0001),
('IOVYGZ84G25I235Q', 0444, 0001),
('IOVYGZ84G25I235Q', 0444, 0002),
('AOHKMV73J84Q368L', 0445, 0001),
('AOHKMV73J84Q368L', 0445, 0002),
('AOHKMV73J84Q368L', 0445, 0003),
('AOHKMV73J84Q368L', 0446, 0001),
('CTJOVK64H91O146H', 0447, 0001),
('IOVYGZ84G25I235Q', 0447, 0002),
('VGYBUT84J41H814C', 0448, 0001),
('WNHIUA46T09L765U', 0448, 0002),
('AOHKMV73J84Q368L', 0449, 0001),
('AOHKMV73J84Q368L', 0449, 0002),
('AOHKMV73J84Q368L', 0450, 0001),
('AOHKMV73J84Q368L', 0450, 0002),
('AOHKMV73J84Q368L', 0450, 0003),
('CTJOVK64H91O146H', 0451, 0001),
('CTJOVK64H91O146H', 0451, 0002),
('IOVYGZ84G25I235Q', 0451, 0003),
('CTJOVK64H91O146H', 0452, 0001),
('AOHKMV73J84Q368L', 0453, 0001),
('AOHKMV73J84Q368L', 0453, 0002),
('AOHKMV73J84Q368L', 0453, 0003),
('NKXZYL65D42E238A', 0454, 0001),
('NKXZYL65D42E238A', 0454, 0002),
('IGXEDP10I73J564L', 0455, 0001),
('IGXEDP10I73J564L', 0455, 0002),
('IGXEDP10I73J564L', 0455, 0003),
('CTJOVK64H91O146H', 0456, 0001),
('CTJOVK64H91O146H', 0456, 0002),
('VGYBUT84J41H814C', 0457, 0001),
('NKXZYL65D42E238A', 0458, 0001),
('NKXZYL65D42E238A', 0458, 0002),
('NKXZYL65D42E238A', 0459, 0001),
('KNOYAI45L56R691S', 0460, 0001),
('TEFJVI96G02K810Z', 0460, 0002),
('AOHKMV73J84Q368L', 0461, 0001),
('AOHKMV73J84Q368L', 0461, 0002),
('AOHKMV73J84Q368L', 0461, 0003),
('GLIMAV29E31B520O', 0462, 0001),
('UJHLTI86P60P714M', 0462, 0002),
('AOHKMV73J84Q368L', 0463, 0001),
('AOHKMV73J84Q368L', 0463, 0002),
('AOHKMV73J84Q368L', 0463, 0003),
('IGXEDP10I73J564L', 0464, 0001),
('IGXEDP10I73J564L', 0464, 0002),
('IGXEDP10I73J564L', 0464, 0003),
('XCATMI90N20B604S', 0465, 0001),
('AOHKMV73J84Q368L', 0466, 0001),
('AOHKMV73J84Q368L', 0466, 0002),
('AOHKMV73J84Q368L', 0466, 0003),
('GLIMAV29E31B520O', 0467, 0001),
('CTJOVK64H91O146H', 0467, 0002),
('TWAJOK98R58Y714P', 0467, 0003),
('NKXZYL65D42E238A', 0468, 0001),
('NKXZYL65D42E238A', 0468, 0002),
('IGXEDP10I73J564L', 0469, 0001),
('IGXEDP10I73J564L', 0469, 0002),
('IGXEDP10I73J564L', 0469, 0003),
('AOHKMV73J84Q368L', 0470, 0001),
('VGYBUT84J41H814C', 0471, 0001),
('TWAJOK98R58Y714P', 0471, 0002),
('AOHKMV73J84Q368L', 0472, 0001),
('AOHKMV73J84Q368L', 0472, 0002),
('TEFJVI96G02K810Z', 0473, 0001),
('TEFJVI96G02K810Z', 0473, 0002),
('TEFJVI96G02K810Z', 0473, 0003),
('KNOYAI45L56R691S', 0474, 0001),
('IOVYGZ84G25I235Q', 0475, 0001),
('CTJOVK64H91O146H', 0476, 0001),
('CTJOVK64H91O146H', 0476, 0002),
('NKXZYL65D42E238A', 0477, 0001),
('CTJOVK64H91O146H', 0477, 0002),
('NKXZYL65D42E238A', 0477, 0003),
('XCATMI90N20B604S', 0478, 0001),
('CTJOVK64H91O146H', 0479, 0001),
('CTJOVK64H91O146H', 0479, 0002),
('IGXEDP10I73J564L', 0480, 0001),
('IGXEDP10I73J564L', 0480, 0002),
('AOHKMV73J84Q368L', 0481, 0001),
('GLIMAV29E31B520O', 0482, 0001),
('GLIMAV29E31B520O', 0482, 0002),
('CGPMNF06K15T392P', 0482, 0003),
('CTJOVK64H91O146H', 0483, 0001),
('IGXEDP10I73J564L', 0484, 0001),
('IGXEDP10I73J564L', 0484, 0002),
('IGXEDP10I73J564L', 0484, 0003),
('IGXEDP10I73J564L', 0485, 0001),
('IGXEDP10I73J564L', 0485, 0002),
('TWAJOK98R58Y714P', 0486, 0001),
('CGPMNF06K15T392P', 0486, 0002),
('GLIMAV29E31B520O', 0486, 0003),
('AOHKMV73J84Q368L', 0487, 0001),
('AOHKMV73J84Q368L', 0487, 0002),
('KNOYAI45L56R691S', 0488, 0001),
('KNOYAI45L56R691S', 0488, 0002),
('NKXZYL65D42E238A', 0489, 0001),
('IOVYGZ84G25I235Q', 0489, 0002),
('CTJOVK64H91O146H', 0489, 0003),
('CTJOVK64H91O146H', 0490, 0001),
('NKXZYL65D42E238A', 0491, 0001),
('NKXZYL65D42E238A', 0491, 0002),
('TEFJVI96G02K810Z', 0492, 0001),
('TEFJVI96G02K810Z', 0492, 0002),
('KNOYAI45L56R691S', 0492, 0003),
('NKXZYL65D42E238A', 0493, 0001),
('IOVYGZ84G25I235Q', 0493, 0002),
('IOVYGZ84G25I235Q', 0493, 0003),
('XKDCTP56B47P209H', 0494, 0001),
('XKDCTP56B47P209H', 0494, 0002),
('KNOYAI45L56R691S', 0495, 0001),
('IGXEDP10I73J564L', 0496, 0001),
('XCATMI90N20B604S', 0497, 0001),
('NKXZYL65D42E238A', 0497, 0002),
('XKDCTP56B47P209H', 0497, 0003),
('NKXZYL65D42E238A', 0498, 0001),
('AOHKMV73J84Q368L', 0499, 0001),
('KNOYAI45L56R691S', 0499, 0002),
('KNOYAI45L56R691S', 0500, 0001),
('CTJOVK64H91O146H', 0501, 0001),
('CTJOVK64H91O146H', 0501, 0002),
('TWAJOK98R58Y714P', 0502, 0001),
('GLIMAV29E31B520O', 0502, 0002),
('TEFJVI96G02K810Z', 0503, 0001),
('KNOYAI45L56R691S', 0504, 0001),
('AOHKMV73J84Q368L', 0504, 0002),
('XCATMI90N20B604S', 0505, 0001),
('NKXZYL65D42E238A', 0505, 0002),
('XKDCTP56B47P209H', 0505, 0003),
('IGXEDP10I73J564L', 0506, 0001),
('IGXEDP10I73J564L', 0506, 0002),
('IGXEDP10I73J564L', 0506, 0003),
('UJHLTI86P60P714M', 0507, 0001),
('IGXEDP10I73J564L', 0508, 0001),
('IGXEDP10I73J564L', 0508, 0002),
('IGXEDP10I73J564L', 0508, 0003),
('TWAJOK98R58Y714P', 0509, 0001),
('CTJOVK64H91O146H', 0510, 0001),
('IOVYGZ84G25I235Q', 0511, 0001),
('NKXZYL65D42E238A', 0511, 0002),
('NKXZYL65D42E238A', 0511, 0003),
('XKDCTP56B47P209H', 0512, 0001),
('XCATMI90N20B604S', 0513, 0001),
('NKXZYL65D42E238A', 0514, 0001),
('XKDCTP56B47P209H', 0514, 0002),
('AOHKMV73J84Q368L', 0515, 0001),
('AOHKMV73J84Q368L', 0516, 0001),
('IGXEDP10I73J564L', 0517, 0001),
('IGXEDP10I73J564L', 0517, 0002),
('IGXEDP10I73J564L', 0517, 0003),
('AOHKMV73J84Q368L', 0518, 0001),
('AOHKMV73J84Q368L', 0518, 0002),
('AOHKMV73J84Q368L', 0518, 0003),
('XCATMI90N20B604S', 0519, 0001),
('NKXZYL65D42E238A', 0519, 0002),
('XKDCTP56B47P209H', 0519, 0003),
('NKXZYL65D42E238A', 0520, 0001),
('NKXZYL65D42E238A', 0520, 0002),
('KNOYAI45L56R691S', 0521, 0001),
('KNOYAI45L56R691S', 0521, 0002),
('XKDCTP56B47P209H', 0522, 0001),
('XCATMI90N20B604S', 0522, 0002),
('AOHKMV73J84Q368L', 0523, 0001),
('AOHKMV73J84Q368L', 0523, 0002),
('CTJOVK64H91O146H', 0524, 0001),
('CTJOVK64H91O146H', 0524, 0002),
('CGPMNF06K15T392P', 0524, 0003),
('NKXZYL65D42E238A', 0525, 0001),
('XKDCTP56B47P209H', 0525, 0002),
('IOVYGZ84G25I235Q', 0526, 0001),
('CTJOVK64H91O146H', 0526, 0002),
('IGXEDP10I73J564L', 0527, 0001),
('IGXEDP10I73J564L', 0527, 0002),
('IGXEDP10I73J564L', 0527, 0003),
('AOHKMV73J84Q368L', 0528, 0001),
('AOHKMV73J84Q368L', 0528, 0002),
('IOVYGZ84G25I235Q', 0529, 0001),
('KNOYAI45L56R691S', 0530, 0001),
('TEFJVI96G02K810Z', 0530, 0002),
('NKXZYL65D42E238A', 0531, 0001),
('CTJOVK64H91O146H', 0531, 0002),
('NKXZYL65D42E238A', 0531, 0003),
('XKDCTP56B47P209H', 0532, 0001),
('NKXZYL65D42E238A', 0532, 0002),
('AOHKMV73J84Q368L', 0533, 0001),
('AOHKMV73J84Q368L', 0533, 0002),
('AOHKMV73J84Q368L', 0533, 0003),
('XCATMI90N20B604S', 0534, 0001),
('NKXZYL65D42E238A', 0534, 0002),
('XKDCTP56B47P209H', 0534, 0003),
('AOHKMV73J84Q368L', 0535, 0001),
('NKXZYL65D42E238A', 0536, 0001),
('IGXEDP10I73J564L', 0537, 0001),
('IGXEDP10I73J564L', 0537, 0002),
('IGXEDP10I73J564L', 0538, 0001),
('IGXEDP10I73J564L', 0539, 0001),
('NKXZYL65D42E238A', 0540, 0001),
('IOVYGZ84G25I235Q', 0540, 0002),
('NKXZYL65D42E238A', 0541, 0001),
('XKDCTP56B47P209H', 0541, 0002),
('XKDCTP56B47P209H', 0541, 0003),
('KNOYAI45L56R691S', 0542, 0001),
('AOHKMV73J84Q368L', 0542, 0002),
('AOHKMV73J84Q368L', 0542, 0003),
('IOVYGZ84G25I235Q', 0543, 0001),
('IOVYGZ84G25I235Q', 0543, 0002),
('IOVYGZ84G25I235Q', 0543, 0003),
('NKXZYL65D42E238A', 0544, 0001),
('CTJOVK64H91O146H', 0545, 0001),
('VGYBUT84J41H814C', 0545, 0002),
('CTJOVK64H91O146H', 0545, 0003),
('NKXZYL65D42E238A', 0546, 0001),
('CTJOVK64H91O146H', 0547, 0001),
('IOVYGZ84G25I235Q', 0548, 0001),
('IOVYGZ84G25I235Q', 0549, 0001),
('NKXZYL65D42E238A', 0550, 0001),
('XCATMI90N20B604S', 0550, 0002),
('NKXZYL65D42E238A', 0550, 0003),
('IGXEDP10I73J564L', 0551, 0001),
('AOHKMV73J84Q368L', 0552, 0001),
('NKXZYL65D42E238A', 0553, 0001),
('NKXZYL65D42E238A', 0553, 0002),
('NKXZYL65D42E238A', 0553, 0003),
('TEFJVI96G02K810Z', 0554, 0001),
('NKXZYL65D42E238A', 0555, 0001),
('IOVYGZ84G25I235Q', 0555, 0002),
('NKXZYL65D42E238A', 0555, 0003),
('TEFJVI96G02K810Z', 0556, 0001),
('TEFJVI96G02K810Z', 0556, 0002),
('TEFJVI96G02K810Z', 0556, 0003),
('XCATMI90N20B604S', 0557, 0001),
('NKXZYL65D42E238A', 0557, 0002),
('KNOYAI45L56R691S', 0558, 0001),
('TEFJVI96G02K810Z', 0558, 0002),
('XCATMI90N20B604S', 0559, 0001),
('IOVYGZ84G25I235Q', 0560, 0001),
('CTJOVK64H91O146H', 0560, 0002),
('NKXZYL65D42E238A', 0560, 0003),
('AOHKMV73J84Q368L', 0561, 0001),
('AOHKMV73J84Q368L', 0561, 0002),
('AOHKMV73J84Q368L', 0561, 0003),
('CGPMNF06K15T392P', 0562, 0001),
('IGXEDP10I73J564L', 0563, 0001),
('IGXEDP10I73J564L', 0563, 0002),
('CTJOVK64H91O146H', 0564, 0001),
('TWAJOK98R58Y714P', 0564, 0002),
('CTJOVK64H91O146H', 0565, 0001),
('NKXZYL65D42E238A', 0565, 0002),
('NKXZYL65D42E238A', 0566, 0001),
('XKDCTP56B47P209H', 0566, 0002),
('AOHKMV73J84Q368L', 0567, 0001),
('TEFJVI96G02K810Z', 0567, 0002),
('AOHKMV73J84Q368L', 0567, 0003),
('IGXEDP10I73J564L', 0568, 0001),
('IGXEDP10I73J564L', 0568, 0002),
('AOHKMV73J84Q368L', 0569, 0001),
('AOHKMV73J84Q368L', 0569, 0002),
('AOHKMV73J84Q368L', 0569, 0003),
('IGXEDP10I73J564L', 0570, 0001),
('IOVYGZ84G25I235Q', 0571, 0001),
('IOVYGZ84G25I235Q', 0572, 0001),
('IGXEDP10I73J564L', 0573, 0001),
('IGXEDP10I73J564L', 0573, 0002),
('IGXEDP10I73J564L', 0573, 0003),
('UJHLTI86P60P714M', 0574, 0001),
('VGYBUT84J41H814C', 0574, 0002),
('IOVYGZ84G25I235Q', 0575, 0001),
('NKXZYL65D42E238A', 0576, 0001),
('CTJOVK64H91O146H', 0576, 0002),
('CTJOVK64H91O146H', 0576, 0003),
('IOVYGZ84G25I235Q', 0577, 0001),
('CGPMNF06K15T392P', 0578, 0001),
('CTJOVK64H91O146H', 0578, 0002),
('IOVYGZ84G25I235Q', 0579, 0001),
('CTJOVK64H91O146H', 0579, 0002),
('NKXZYL65D42E238A', 0579, 0003),
('IOVYGZ84G25I235Q', 0580, 0001),
('AOHKMV73J84Q368L', 0581, 0001),
('KNOYAI45L56R691S', 0581, 0002),
('AOHKMV73J84Q368L', 0582, 0001),
('VGYBUT84J41H814C', 0583, 0001),
('AOHKMV73J84Q368L', 0584, 0001),
('AOHKMV73J84Q368L', 0584, 0002),
('XKDCTP56B47P209H', 0585, 0001),
('NKXZYL65D42E238A', 0585, 0002),
('KNOYAI45L56R691S', 0586, 0001),
('CTJOVK64H91O146H', 0587, 0001),
('CTJOVK64H91O146H', 0588, 0001),
('NKXZYL65D42E238A', 0588, 0002),
('CTJOVK64H91O146H', 0589, 0001),
('CTJOVK64H91O146H', 0589, 0002),
('CGPMNF06K15T392P', 0590, 0001),
('AOHKMV73J84Q368L', 0591, 0001),
('AOHKMV73J84Q368L', 0591, 0002),
('GLIMAV29E31B520O', 0592, 0001),
('WNHIUA46T09L765U', 0592, 0002),
('AOHKMV73J84Q368L', 0593, 0001),
('AOHKMV73J84Q368L', 0593, 0002),
('AOHKMV73J84Q368L', 0593, 0003),
('IGXEDP10I73J564L', 0594, 0001),
('IGXEDP10I73J564L', 0594, 0002),
('AOHKMV73J84Q368L', 0595, 0001),
('NKXZYL65D42E238A', 0596, 0001),
('CTJOVK64H91O146H', 0596, 0002),
('CTJOVK64H91O146H', 0597, 0001),
('CTJOVK64H91O146H', 0597, 0002),
('NKXZYL65D42E238A', 0597, 0003),
('NKXZYL65D42E238A', 0598, 0001),
('NKXZYL65D42E238A', 0598, 0002),
('XCATMI90N20B604S', 0598, 0003),
('AOHKMV73J84Q368L', 0599, 0001),
('AOHKMV73J84Q368L', 0600, 0001),
('KNOYAI45L56R691S', 0600, 0002),
('CTJOVK64H91O146H', 0601, 0001),
('KNOYAI45L56R691S', 0602, 0001),
('NKXZYL65D42E238A', 0603, 0001),
('CTJOVK64H91O146H', 0603, 0002),
('IOVYGZ84G25I235Q', 0604, 0001),
('CTJOVK64H91O146H', 0604, 0002),
('IOVYGZ84G25I235Q', 0604, 0003),
('IGXEDP10I73J564L', 0605, 0001),
('CTJOVK64H91O146H', 0606, 0001),
('AOHKMV73J84Q368L', 0607, 0001),
('AOHKMV73J84Q368L', 0608, 0001),
('AOHKMV73J84Q368L', 0608, 0002),
('AOHKMV73J84Q368L', 0608, 0003),
('CTJOVK64H91O146H', 0609, 0001),
('IOVYGZ84G25I235Q', 0609, 0002),
('NKXZYL65D42E238A', 0610, 0001),
('XCATMI90N20B604S', 0610, 0002),
('XCATMI90N20B604S', 0610, 0003),
('TEFJVI96G02K810Z', 0611, 0001),
('WNHIUA46T09L765U', 0612, 0001),
('CTJOVK64H91O146H', 0612, 0002),
('IOVYGZ84G25I235Q', 0613, 0001),
('IOVYGZ84G25I235Q', 0613, 0002),
('NKXZYL65D42E238A', 0613, 0003),
